name,address,account,description,interest
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars (millions)
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars
2019,Level 4,AA111,Horticulture and Fruit Growing,Dollars
2019,Level 4,AA111,Horticulture and Fruit Growing,Percentage
2019,Level 4,AA111,Horticulture and Fruit Growing,Percentage
2019,Level 4,AA111,Horticulture and Fruit Growing,Percentage
2019,Level 4,AA111,Horticulture and Fruit Growing,Percentage
2019,Level 4,AA111,Horticulture and Fruit Growing,Percentage
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Dollars
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Percentage
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Percentage
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Percentage
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Percentage
2019,Level 3,AA12,"Sheep, Beef Cattle and Grain Farming",Percentage
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars (millions)
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Dollars
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Percentage
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Percentage
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Percentage
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Percentage
2019,Level 4,AA121,"Sheep, Beef Cattle and Grain Farming",Percentage
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars (millions)
2019,Level 3,AA13,Dairy Cattle Farming,Dollars
2019,Level 3,AA13,Dairy Cattle Farming,Dollars
2019,Level 3,AA13,Dairy Cattle Farming,Percentage
2019,Level 3,AA13,Dairy Cattle Farming,Percentage
2019,Level 3,AA13,Dairy Cattle Farming,Percentage
2019,Level 3,AA13,Dairy Cattle Farming,Percentage
2019,Level 3,AA13,Dairy Cattle Farming,Percentage
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars (millions)
2019,Level 4,AA131,Dairy Cattle Farming,Dollars
2019,Level 4,AA131,Dairy Cattle Farming,Dollars
2019,Level 4,AA131,Dairy Cattle Farming,Percentage
2019,Level 4,AA131,Dairy Cattle Farming,Percentage
2019,Level 4,AA131,Dairy Cattle Farming,Percentage
2019,Level 4,AA131,Dairy Cattle Farming,Percentage
2019,Level 4,AA131,Dairy Cattle Farming,Percentage
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Dollars
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Percentage
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Percentage
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Percentage
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Percentage
2019,Level 3,AA14,"Poultry, Deer and Other Livestock Farming",Percentage
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars (millions)
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Dollars
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Percentage
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Percentage
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Percentage
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Percentage
2019,Level 4,AA141,"Poultry, Deer and Other Livestock Farming",Percentage
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars (millions)
2019,Level 3,AA21,Forestry and Logging,Dollars
2019,Level 3,AA21,Forestry and Logging,Dollars
2019,Level 3,AA21,Forestry and Logging,Percentage
2019,Level 3,AA21,Forestry and Logging,Percentage
2019,Level 3,AA21,Forestry and Logging,Percentage
2019,Level 3,AA21,Forestry and Logging,Percentage
2019,Level 3,AA21,Forestry and Logging,Percentage
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars (millions)
2019,Level 4,AA211,Forestry and Logging,Dollars
2019,Level 4,AA211,Forestry and Logging,Dollars
2019,Level 4,AA211,Forestry and Logging,Percentage
2019,Level 4,AA211,Forestry and Logging,Percentage
2019,Level 4,AA211,Forestry and Logging,Percentage
2019,Level 4,AA211,Forestry and Logging,Percentage
2019,Level 4,AA211,Forestry and Logging,Percentage
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars (millions)
2019,Level 3,AA31,Fishing and Aquaculture,Dollars
2019,Level 3,AA31,Fishing and Aquaculture,Dollars
2019,Level 3,AA31,Fishing and Aquaculture,Percentage
2019,Level 3,AA31,Fishing and Aquaculture,Percentage
2019,Level 3,AA31,Fishing and Aquaculture,Percentage
2019,Level 3,AA31,Fishing and Aquaculture,Percentage
2019,Level 3,AA31,Fishing and Aquaculture,Percentage
2019,Level 3,AA32,"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2019,Level 3,AA32,"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2019,Level 3,AA32,"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2019,Level 3,AA32,"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2019,Level 3,AA32,"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2019,Level 3,AA32,"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2019,Level 3,AA32,"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2019,Level 3,AA32,"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2019,Level 3,AA32,"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2019,Level 3,AA32,"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions)
2019,Level 3,AA32,"Agriculture, Forestry and Fishing Support Services and Hunting",Dollars (millions)
