name,address,description,interest
IMPS,"52,426.80",0,"1,14,083.04"
ATM,11.52,0,"1,14,094.56"
Miscellaneous,"18,79,728.00",0,"19,93,822.56"
Debit Card,26.2,0,"19,93,848.76"
Commission,"3,153.70",0,"19,97,002.46"
Miscellaneous,0,"2,49,625.31","17,47,377.15"
Miscellaneous,0,"2,49,625.31","14,97,751.84"
Reversal,"86,449.80",0,"15,84,201.64"
Debit Card,"27,008.70",0,"16,11,210.34"
Commission,0,"8,05,605.17","8,05,605.17"
Commission,497.2,0,"8,06,102.37"
NEFT,"19,66,561.80",0,"27,72,664.17"
Bill,0.57,0,"27,72,664.74"
ATM,0,"27,72,664.74",0
Reversal,"2,02,554.12",0,"2,02,554.12"
ATM,0,"50,638.53","1,51,915.59"
NEFT,"19,35,490.50",0,"20,87,406.09"
Commission,0,"4,17,481.22","16,69,924.87"
Reversal,0,"4,17,481.22","12,52,443.65"
RTGS,0,"1,25,244.37","11,27,199.28"
Interest,0,"1,12,719.93","10,14,479.35"
Debit Card,0,"2,02,895.87","8,11,583.48"
Debit Card,0,"8,11,583.48",0
Interest,503.16,0,503.16
Cash,0,71.88,431.28
Debit Card,6,0,437.28
Debit Card,257,0,694.28
RTGS,"20,014.00",0,"20,708.28"
Cash,"70,086.40",0,"90,794.68"
Cash,0,"22,698.67","68,096.01"
ATM,"1,20,471.62",0,"1,88,567.63"
Reversal,0,"26,938.23","1,61,629.40"
RTGS,0,"53,876.47","1,07,752.93"
Transfer,0,"26,938.23","80,814.70"
Commission,0,"80,814.70",0
ATM,21.48,0,21.48
ATM,446.9,0,468.38
Interest,"10,47,161.20",0,"10,47,629.58"
Debit Card,2.77,0,"10,47,632.35"
NEFT,0,"1,16,403.59","9,31,228.76"
Tax,0,"2,32,807.19","6,98,421.57"
Reversal,41.94,0,"6,98,463.51"
Cash,0,"69,846.35","6,28,617.16"
Transfer,"29,612.00",0,"6,58,229.16"
Reversal,20.87,0,"6,58,250.03"
NEFT,7.9,0,"6,58,257.93"
Reversal,0,"2,19,419.31","4,38,838.62"
Reversal,0,"1,09,709.66","3,29,128.96"
IMPS,"30,187.00",0,"3,59,315.96"
Cash,0,"1,79,657.98","1,79,657.98"
Tax,17.34,0,"1,79,675.32"
IMPS,0,"59,891.77","1,19,783.55"
Purchase,"65,903.00",0,"1,85,686.55"
IMPS,0,"1,85,686.55",0
Commission,58.92,0,58.92
Tax,3.03,0,61.95
NEFT,0,6.2,55.76
Bill,"29,121.10",0,"29,176.86"
RTGS,"11,36,234.00",0,"11,65,410.86"
Cheque,"3,536.72",0,"11,68,947.58"
Cash,0,"3,89,649.19","7,79,298.39"
RTGS,0,"3,89,649.20","3,89,649.20"
Bill,0,"77,929.84","3,11,719.36"
ATM,0,"1,55,859.68","1,55,859.68"
NEFT,"28,972.00",0,"1,84,831.68"
Bill,"29,169.00",0,"2,14,000.68"
ATM,0,"53,500.17","1,60,500.51"
Cheque,"6,672.20",0,"1,67,172.71"
Cheque,62.27,0,"1,67,234.98"
Purchase,0,"83,617.49","83,617.49"
Cheque,0,"83,617.49",0
Cheque,19.73,0,19.73
Purchase,"67,355.56",0,"67,375.29"
Miscellaneous,37.15,0,"67,412.44"
ATM,5.9,0,"67,418.34"
Tax,"2,62,018.20",0,"3,29,436.54"
NEFT,0,"47,062.36","2,82,374.18"
Purchase,0,"28,237.42","2,54,136.76"
NEFT,"9,01,505.00",0,"11,55,641.76"
Cheque,0,"1,65,091.68","9,90,550.08"
RTGS,7.58,0,"9,90,557.66"
NEFT,0,"1,65,092.94","8,25,464.72"
NEFT,0,"1,03,183.09","7,22,281.63"
Cash,0,"80,253.51","6,42,028.12"
Debit Card,451,0,"6,42,479.12"
Reversal,"18,70,301.00",0,"25,12,780.12"
Tax,116,0,"25,12,896.12"
RTGS,0,"12,56,448.06","12,56,448.06"
Commission,0,"12,56,448.06",0
RTGS,52.74,0,52.74
IMPS,0,5.86,46.88
Transfer,0,9.38,37.5
Miscellaneous,"68,892.00",0,"68,929.50"
Cheque,"14,714.05",0,"83,643.55"
Commission,0,"13,940.59","69,702.96"
Purchase,20,0,"69,722.96"
Cash,"3,916.68",0,"73,639.64"
Reversal,"1,642.00",0,"75,281.64"
Tax,"2,824.60",0,"78,106.24"
RTGS,0,"9,763.28","68,342.96"
Debit Card,"2,14,959.00",0,"2,83,301.96"
Transfer,0,"70,825.49","2,12,476.47"
Purchase,"13,57,731.00",0,"15,70,207.47"
Transfer,0,"2,24,315.35","13,45,892.12"
RTGS,120,0,"13,46,012.12"
Reversal,0,"1,68,251.52","11,77,760.60"
Commission,0,"3,92,586.87","7,85,173.73"
Debit Card,"2,55,653.20",0,"10,40,826.93"
Bill,6.27,0,"10,40,833.20"
Tax,5.87,0,"10,40,839.07"
Miscellaneous,"2,21,529.00",0,"12,62,368.07"
Tax,0,"1,40,263.12","11,22,104.95"
Cash,0,"1,40,263.12","9,81,841.83"
Debit Card,0,"2,45,460.46","7,36,381.37"
Cash,"11,62,404.00",0,"18,98,785.37"
Cash,276,0,"18,99,061.37"
Cash,0,"2,71,294.48","16,27,766.89"
RTGS,47,0,"16,27,813.89"
Cash,45,0,"16,27,858.89"
Interest,"3,20,226.75",0,"19,48,085.64"
Commission,"1,61,676.06",0,"21,09,761.70"
Bill,"11,221.88",0,"21,20,983.58"
Cash,"41,859.20",0,"21,62,842.78"
Cheque,"3,19,669.80",0,"24,82,512.58"
Interest,0,"24,82,512.58",0
Transfer,463.6,0,463.6
Bill,0,92.72,370.88
Purchase,"26,876.60",0,"27,247.48"
Interest,"5,950.85",0,"33,198.33"
Purchase,0,"4,742.62","28,455.71"
Debit Card,0,"4,065.10","24,390.61"
ATM,"3,141.00",0,"27,531.61"
NEFT,"3,44,273.50",0,"3,71,805.11"
Miscellaneous,0,"3,71,805.11",0
NEFT,"24,213.92",0,"24,213.92"
Commission,0,"4,842.78","19,371.14"
NEFT,"1,734.20",0,"21,105.34"
IMPS,0,"2,345.04","18,760.30"
Cheque,231,0,"18,991.30"
Cheque,0,"3,165.22","15,826.08"
Tax,"1,18,247.50",0,"1,34,073.58"
Purchase,0,"1,34,073.58",0
Purchase,"3,366.10",0,"3,366.10"
IMPS,0,374.01,"2,992.09"
Commission,0,"2,992.09",0
Interest,"90,773.28",0,"90,773.28"
Reversal,"1,13,711.50",0,"2,04,484.78"
Cheque,0,"2,04,484.78",0
Transfer,"5,39,005.50",0,"5,39,005.50"
Transfer,"1,290.53",0,"5,40,296.03"
Commission,50.21,0,"5,40,346.24"
NEFT,"1,035.92",0,"5,41,382.16"
Cheque,"12,674.90",0,"5,54,057.06"
Tax,0,"2,77,028.53","2,77,028.53"
Purchase,0,"92,342.84","1,84,685.69"
Cheque,"27,991.00",0,"2,12,676.69"
Bill,"10,41,299.50",0,"12,53,976.19"
Miscellaneous,0,"4,17,992.06","8,35,984.13"
Tax,"78,877.00",0,"9,14,861.13"
Transfer,"1,09,864.10",0,"10,24,725.23"
Miscellaneous,"81,345.81",0,"11,06,071.04"
IMPS,4,0,"11,06,075.04"
IMPS,0,"5,53,037.52","5,53,037.52"
Transfer,0,"55,303.75","4,97,733.77"
Cheque,387,0,"4,98,120.77"
Debit Card,0,"62,265.10","4,35,855.67"
Transfer,509.7,0,"4,36,365.37"
NEFT,0,"72,727.56","3,63,637.81"
Bill,"1,892.90",0,"3,65,530.71"
Debit Card,0,"52,218.67","3,13,312.04"
Tax,0,"3,13,312.04",0
ATM,36.2,0,36.2
Cheque,0,12.07,24.13
Interest,0,3.45,20.68
Reversal,0,2.07,18.61
Commission,0,6.2,12.41
RTGS,"2,858.00",0,"2,870.41"
Reversal,0,"1,435.21","1,435.20"
Cash,1.11,0,"1,436.31"
Debit Card,0,718.16,718.16
Interest,"16,483.34",0,"17,201.50"
Cheque,"1,01,077.00",0,"1,18,278.50"
Tax,662.62,0,"1,18,941.12"
Commission,0,"19,823.52","99,117.60"
ATM,"2,57,296.50",0,"3,56,414.10"
Cash,"33,621.03",0,"3,90,035.13"
IMPS,"2,17,145.20",0,"6,07,180.33"
Bill,"81,500.70",0,"6,88,681.03"
NEFT,0,"2,29,560.34","4,59,120.69"
Tax,"91,433.41",0,"5,50,554.10"
Miscellaneous,0,"55,055.41","4,95,498.69"
Interest,444,0,"4,95,942.69"
Interest,0,"4,95,942.69",0
Miscellaneous,284.9,0,284.9
Reversal,"16,45,504.00",0,"16,45,788.90"
Bill,"26,125.50",0,"16,71,914.40"
IMPS,0,"4,17,978.60","12,53,935.80"
IMPS,0,"3,13,483.95","9,40,451.85"
Purchase,"2,269.00",0,"9,42,720.85"
Debit Card,0,"1,34,674.41","8,08,046.44"
NEFT,869.1,0,"8,08,915.54"
Transfer,"3,526.48",0,"8,12,442.02"
Cash,0,"81,244.20","7,31,197.82"
IMPS,"14,29,617.75",0,"21,60,815.57"
Tax,"5,122.37",0,"21,65,937.94"
Debit Card,0,"5,41,484.49","16,24,453.46"
Tax,33.38,0,"16,24,486.84"
Reversal,"2,34,092.60",0,"18,58,579.44"
Debit Card,2.7,0,"18,58,582.14"
ATM,0,"2,65,511.73","15,93,070.41"
Interest,"13,709.00",0,"16,06,779.41"
Cash,"2,073.00",0,"16,08,852.41"
NEFT,0,"8,04,426.21","8,04,426.20"
RTGS,"2,848.12",0,"8,07,274.32"
Bill,"21,116.00",0,"8,28,390.32"
Debit Card,0,"1,38,065.05","6,90,325.27"
Cheque,37,0,"6,90,362.27"
Bill,0,"76,706.92","6,13,655.35"
Interest,0,"87,665.05","5,25,990.30"
Purchase,0,"1,75,330.10","3,50,660.20"
RTGS,"3,967.00",0,"3,54,627.20"
Reversal,0,"39,403.02","3,15,224.18"
Transfer,494,0,"3,15,718.18"
IMPS,0,"31,571.82","2,84,146.36"
Transfer,0,"94,715.45","1,89,430.91"
NEFT,0,"27,061.56","1,62,369.35"
Tax,0,"40,592.34","1,21,777.01"
Interest,0,"12,177.70","1,09,599.31"
Reversal,0,"15,657.04","93,942.27"
ATM,0,"15,657.05","78,285.23"
Tax,0,"9,785.65","68,499.58"
Debit Card,"1,66,982.84",0,"2,35,482.42"
Transfer,0,"2,35,482.42",0
Tax,"85,489.53",0,"85,489.53"
Cheque,"1,15,681.75",0,"2,01,171.28"
ATM,0,"28,738.75","1,72,432.53"
Debit Card,0,"34,486.51","1,37,946.02"
RTGS,0,"15,327.34","1,22,618.68"
Tax,319.05,0,"1,22,937.73"
NEFT,0,"20,489.62","1,02,448.11"
Bill,"15,85,386.50",0,"16,87,834.61"
Bill,"2,305.20",0,"16,90,139.81"
Bill,0,"16,90,139.81",0
Bill,"20,20,879.80",0,"20,20,879.80"
RTGS,441,0,"20,21,320.80"
Transfer,0,"2,02,132.08","18,19,188.72"
RTGS,151.6,0,"18,19,340.32"
Transfer,5,0,"18,19,345.32"
Cash,0,"3,63,869.06","14,55,476.26"
Miscellaneous,126,0,"14,55,602.26"
NEFT,4.4,0,"14,55,606.66"
Purchase,31.3,0,"14,55,637.96"
Transfer,0,"2,42,606.33","12,13,031.63"
RTGS,0,"2,42,606.33","9,70,425.30"
Bill,0,"1,07,825.03","8,62,600.27"
Interest,0,"2,15,650.07","6,46,950.20"
IMPS,0,"92,421.46","5,54,528.74"
Miscellaneous,0,"92,421.46","4,62,107.28"
IMPS,0,"66,015.33","3,96,091.95"
Debit Card,103,0,"3,96,194.95"
Cash,0,"66,032.49","3,30,162.46"
Purchase,0,"1,65,081.23","1,65,081.23"
Transfer,279,0,"1,65,360.23"
Transfer,56.89,0,"1,65,417.12"
Bill,47.02,0,"1,65,464.14"
Miscellaneous,"1,96,421.00",0,"3,61,885.14"
NEFT,0,"90,471.29","2,71,413.86"
Bill,0,"67,853.47","2,03,560.40"
IMPS,0,"20,356.04","1,83,204.36"
Cash,0,"20,356.04","1,62,848.32"
Tax,"3,916.28",0,"1,66,764.60"
Commission,"28,510.00",0,"1,95,274.60"
Purchase,0,"24,409.33","1,70,865.28"
Interest,0,"28,477.55","1,42,387.73"
Commission,0,"17,798.47","1,24,589.26"
RTGS,1.91,0,"1,24,591.17"
Transfer,"9,92,989.50",0,"11,17,580.67"
Cash,0,"11,17,580.67",0
Transfer,"3,549.39",0,"3,549.39"
Debit Card,0,507.06,"3,042.33"
Miscellaneous,0,434.62,"2,607.71"
NEFT,"19,49,296.25",0,"19,51,903.96"
Reversal,723.2,0,"19,52,627.16"
RTGS,5.68,0,"19,52,632.84"
Purchase,43.44,0,"19,52,676.28"
Transfer,"23,426.40",0,"19,76,102.68"
Bill,"6,68,541.00",0,"26,44,643.68"
Purchase,0,"2,93,849.30","23,50,794.38"
Bill,0,"2,61,199.38","20,89,595.00"
Interest,57.38,0,"20,89,652.38"
Interest,0,"4,17,930.48","16,71,721.90"
Bill,0,"2,38,817.41","14,32,904.49"
Bill,303,0,"14,33,207.49"
Debit Card,0,"1,59,245.28","12,73,962.21"
Cash,"1,58,806.00",0,"14,32,768.21"
Purchase,"3,569.20",0,"14,36,337.41"
Interest,0,"14,36,337.41",0
Purchase,7,0,7
Reversal,3,0,10
ATM,0,2.5,7.5
Miscellaneous,0,1.5,6
Commission,"7,091.49",0,"7,097.49"
IMPS,17,0,"7,114.49"
Cheque,"22,742.70",0,"29,857.19"
Interest,"19,44,986.50",0,"19,74,843.69"
Cash,"2,121.80",0,"19,76,965.49"
Cheque,0,"6,58,988.50","13,17,976.99"
Interest,0,"13,17,976.99",0
Bill,"2,899.10",0,"2,899.10"
Cash,"1,46,849.00",0,"1,49,748.10"
Miscellaneous,"3,474.48",0,"1,53,222.58"
NEFT,22,0,"1,53,244.58"
Cash,0,"19,155.57","1,34,089.01"
NEFT,0,"19,155.57","1,14,933.44"
ATM,"83,365.20",0,"1,98,298.64"
Transfer,351.5,0,"1,98,650.14"
Reversal,505.15,0,"1,99,155.29"
Cash,0,"49,788.82","1,49,366.47"
Interest,"5,085.00",0,"1,54,451.47"
Purchase,0,"77,225.74","77,225.74"
RTGS,0,"9,653.22","67,572.52"
Cash,4.4,0,"67,576.92"
Purchase,194.95,0,"67,771.87"
Miscellaneous,0,"67,771.87",0
IMPS,43,0,43
Tax,0,10.75,32.25
Purchase,46,0,78.25
RTGS,0,11.18,67.07
ATM,0,9.58,57.49
Debit Card,"15,389.00",0,"15,446.49"
Bill,0,"3,861.62","11,584.87"
Commission,"1,15,866.00",0,"1,27,450.87"
Interest,0,"21,241.81","1,06,209.06"
IMPS,0,"15,172.72","91,036.34"
Purchase,0,"22,759.09","68,277.26"
Transfer,"24,303.00",0,"92,580.26"
Transfer,0,"46,290.13","46,290.13"
NEFT,"23,303.00",0,"69,593.13"
Debit Card,"75,986.00",0,"1,45,579.13"
ATM,0,"48,526.38","97,052.75"
Cheque,0,"24,263.19","72,789.56"
Tax,"1,339.31",0,"74,128.87"
Transfer,"25,050.00",0,"99,178.87"
ATM,0,"19,835.77","79,343.10"
Purchase,0,"13,223.85","66,119.25"
Interest,2,0,"66,121.25"
Transfer,"23,664.03",0,"89,785.28"
Reversal,"43,915.70",0,"1,33,700.98"
Commission,0,"19,100.14","1,14,600.84"
NEFT,"13,160.40",0,"1,27,761.24"
Bill,"3,212.70",0,"1,30,973.94"
Purchase,"21,946.10",0,"1,52,920.04"
Interest,0,"1,52,920.04",0
Tax,"59,184.78",0,"59,184.78"
Purchase,0,"19,728.26","39,456.52"
Interest,0,"19,728.26","19,728.26"
NEFT,"1,28,775.00",0,"1,48,503.26"
Transfer,34.2,0,"1,48,537.46"
ATM,0,"21,219.64","1,27,317.82"
Bill,0,"42,439.27","84,878.55"
Interest,0,"21,219.64","63,658.91"
Bill,2.1,0,"63,661.01"
ATM,56.46,0,"63,717.47"
Debit Card,29,0,"63,746.47"
Cash,557.7,0,"64,304.17"
Commission,6.3,0,"64,310.47"
Reversal,"27,648.00",0,"91,958.47"
NEFT,"1,99,995.59",0,"2,91,954.06"
Transfer,869.1,0,"2,92,823.16"
ATM,0,"2,92,823.16",0
Interest,45,0,45
Bill,0,9,36
ATM,0,36,0
Debit Card,42.5,0,42.5
Transfer,303,0,345.5
Tax,44.53,0,390.03
Debit Card,0,43.34,346.69
Cash,"10,02,040.00",0,"10,02,386.69"
Cheque,"36,443.00",0,"10,38,829.69"
Reversal,57.82,0,"10,38,887.51"
Miscellaneous,0,"1,03,888.75","9,34,998.76"
RTGS,"2,41,371.40",0,"11,76,370.16"
Debit Card,"2,35,232.60",0,"14,11,602.76"
ATM,191,0,"14,11,793.76"
Debit Card,"1,32,174.80",0,"15,43,968.56"
IMPS,0,"2,20,566.94","13,23,401.62"
RTGS,0,"1,47,044.62","11,76,357.00"
Reversal,"14,99,899.80",0,"26,76,256.80"
ATM,0,"2,97,361.87","23,78,894.93"
Interest,0,"23,78,894.93",0
ATM,"1,11,675.00",0,"1,11,675.00"
Purchase,0,"27,918.75","83,756.25"
Debit Card,0,"9,306.25","74,450.00"
Bill,11.3,0,"74,461.30"
RTGS,0,"8,273.48","66,187.82"
Transfer,0,"33,093.91","33,093.91"
Interest,"18,57,703.50",0,"18,90,797.41"
Miscellaneous,0,"3,15,132.90","15,75,664.51"
ATM,"12,63,601.00",0,"28,39,265.51"
Purchase,0,"4,73,210.92","23,66,054.59"
Purchase,0,"2,95,756.82","20,70,297.77"
Reversal,0,"10,35,148.89","10,35,148.88"
Tax,0,"5,17,574.44","5,17,574.44"
Tax,0,"86,262.41","4,31,312.03"
Tax,"1,68,583.70",0,"5,99,895.73"
Cash,0,"99,982.62","4,99,913.11"
Tax,0,"1,24,978.28","3,74,934.83"
IMPS,"3,538.00",0,"3,78,472.83"
Transfer,0,"94,618.21","2,83,854.62"
Miscellaneous,508.6,0,"2,84,363.22"
Debit Card,0,"71,090.81","2,13,272.41"
Interest,41.24,0,"2,13,313.65"
ATM,"3,335.00",0,"2,16,648.65"
Interest,0,"27,081.08","1,89,567.57"
Transfer,0,"47,391.89","1,42,175.68"
IMPS,"3,117.00",0,"1,45,292.68"
Cash,55,0,"1,45,347.68"
ATM,326.2,0,"1,45,673.88"
Debit Card,"30,470.62",0,"1,76,144.50"
Cheque,0,"35,228.90","1,40,915.60"
Reversal,194.4,0,"1,41,110.00"
Interest,0,"17,638.75","1,23,471.25"
ATM,0,"15,433.91","1,08,037.34"
ATM,"2,02,841.00",0,"3,10,878.34"
Cheque,"11,428.50",0,"3,22,306.84"
Miscellaneous,0,"64,461.37","2,57,845.47"
Cheque,7.43,0,"2,57,852.90"
Cheque,0,"1,28,926.45","1,28,926.45"
Purchase,4.56,0,"1,28,931.01"
RTGS,4.59,0,"1,28,935.60"
NEFT,"7,18,793.00",0,"8,47,728.60"
Interest,5.81,0,"8,47,734.41"
NEFT,0,"1,21,104.92","7,26,629.49"
Transfer,0,"3,63,314.75","3,63,314.74"
Tax,"1,26,626.50",0,"4,89,941.24"
ATM,0,"2,44,970.62","2,44,970.62"
ATM,443,0,"2,45,413.62"
NEFT,288.2,0,"2,45,701.82"
Tax,0,"30,712.73","2,14,989.09"
Cheque,5.5,0,"2,14,994.59"
Interest,0,"26,874.32","1,88,120.27"
NEFT,4.73,0,"1,88,125.00"
Transfer,0.09,0,"1,88,125.09"
ATM,"4,591.00",0,"1,92,716.09"
ATM,"4,083.80",0,"1,96,799.89"
Interest,787,0,"1,97,586.89"
Miscellaneous,0,"1,97,586.89",0
Interest,8,0,8
IMPS,444,0,452
Reversal,"28,621.00",0,"29,073.00"
ATM,0,"14,536.50","14,536.50"
Cheque,0,"7,268.25","7,268.25"
Transfer,"2,47,624.20",0,"2,54,892.45"
Tax,914,0,"2,55,806.45"
Miscellaneous,0,"42,634.41","2,13,172.04"
ATM,0,"71,057.35","1,42,114.69"
IMPS,"15,796.00",0,"1,57,910.69"
Cash,0,"31,582.14","1,26,328.55"
Commission,0,"12,632.86","1,13,695.70"
Debit Card,0,"37,898.57","75,797.13"
RTGS,"30,765.00",0,"1,06,562.13"
Debit Card,43,0,"1,06,605.13"
Commission,0,"11,845.01","94,760.12"
RTGS,0,"47,380.06","47,380.06"
Cheque,0,"9,476.01","37,904.05"
Cash,52.96,0,"37,957.01"
RTGS,0,"9,489.25","28,467.76"
Reversal,"1,09,495.80",0,"1,37,963.56"
Bill,"9,65,357.50",0,"11,03,321.06"
RTGS,0,"1,37,915.13","9,65,405.93"
Reversal,301,0,"9,65,706.93"
Bill,0,"96,570.69","8,69,136.24"
ATM,"20,08,104.50",0,"28,77,240.74"
Miscellaneous,"6,080.00",0,"28,83,320.74"
NEFT,"2,53,164.20",0,"31,36,484.94"
Transfer,0,"15,68,242.47","15,68,242.47"
Interest,0,"5,22,747.49","10,45,494.98"
NEFT,"1,94,979.20",0,"12,40,474.18"
Interest,0,"1,24,047.42","11,16,426.76"
Transfer,0,"1,24,047.42","9,92,379.34"
Tax,2,0,"9,92,381.34"
ATM,"2,73,382.25",0,"12,65,763.59"
Cash,24.3,0,"12,65,787.89"
Bill,0,"2,53,157.58","10,12,630.31"
Cash,0,"3,37,543.44","6,75,086.87"
IMPS,22,0,"6,75,108.87"
NEFT,0,"3,37,554.44","3,37,554.44"
IMPS,0,"67,510.89","2,70,043.55"
Tax,202.67,0,"2,70,246.22"
Bill,274.3,0,"2,70,520.52"
IMPS,"1,37,913.80",0,"4,08,434.32"
Miscellaneous,0,"1,02,108.58","3,06,325.74"
IMPS,380,0,"3,06,705.74"
Interest,"18,441.74",0,"3,25,147.48"
Purchase,"2,01,199.12",0,"5,26,346.60"
Purchase,"2,393.00",0,"5,28,739.60"
Bill,0,"2,64,369.80","2,64,369.80"
Commission,448,0,"2,64,817.80"
Reversal,"1,49,720.50",0,"4,14,538.30"
RTGS,0,"4,14,538.30",0
Tax,1,0,1
Commission,0,0.1,0.9
Transfer,4.73,0,5.63
Bill,0,1.41,4.22
Debit Card,0,0.6,3.62
Reversal,19.29,0,22.91
Reversal,"2,44,679.20",0,"2,44,702.11"
Miscellaneous,"1,03,866.70",0,"3,48,568.81"
Bill,149,0,"3,48,717.81"
Debit Card,699,0,"3,49,416.81"
Debit Card,"2,699.20",0,"3,52,116.01"
Cheque,9,0,"3,52,125.01"
Debit Card,6.76,0,"3,52,131.77"
Miscellaneous,"41,359.78",0,"3,93,491.55"
Bill,0,"1,31,163.85","2,62,327.70"
RTGS,19.6,0,"2,62,347.30"
Interest,0,"2,62,347.30",0
RTGS,7,0,7
Reversal,0,2.33,4.67
Cash,0,1.56,3.11
Reversal,0,0.62,2.49
Cash,"1,63,292.53",0,"1,63,295.02"
Bill,0,"27,215.84","1,36,079.18"
ATM,0,"13,607.92","1,22,471.26"
Reversal,"15,31,399.50",0,"16,53,870.76"
Transfer,0,"16,53,870.76",0
NEFT,61,0,61
Tax,0,7.63,53.38
Tax,0,17.79,35.59
Transfer,4,0,39.59
Purchase,0,4.4,35.19
Interest,"18,08,871.75",0,"18,08,906.94"
Transfer,0,"2,26,113.37","15,82,793.57"
Miscellaneous,0,"1,58,279.36","14,24,514.21"
Interest,"10,75,591.00",0,"25,00,105.21"
Miscellaneous,0,"3,57,157.89","21,42,947.32"
NEFT,236,0,"21,43,183.32"
